"REF_DATE","GEO","DGUID","Employment category","Air carrier levels","Employees and salary expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100666","1.6.2.1","9057","","","","0"
"2012","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100667","1.6.2.2","409824","","","","0"
"2012","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100680","1.6.3.1","382","","","","0"
"2012","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100681","1.6.3.2","13905","","","","0"
"2012","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100696","1.7.1.1","5790","","","","0"
"2012","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100697","1.7.1.2","357417","","","","0"
"2012","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100668","1.7.2.1","5571","","","","0"
"2012","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100669","1.7.2.2","350291","","","","0"
"2012","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100682","1.7.3.1","219","","","","0"
"2012","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100683","1.7.3.2","7126","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100698","1.1.1.1","55321","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100699","1.1.1.2","3755167","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100670","1.1.2.1","49702","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100671","1.1.2.2","3432316","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100684","1.1.3.1","5619","","","","0"
"2013","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100685","1.1.3.2","322851","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100686","1.2.1.1","10426","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100687","1.2.1.2","1212291","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100658","1.2.2.1","8227","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100659","1.2.2.2","1074654","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100672","1.2.3.1","2199","","","","0"
"2013","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100673","1.2.3.2","137637","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100688","1.3.1.1","12426","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100689","1.3.1.2","650642","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100660","1.3.2.1","12074","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100661","1.3.2.2","637465","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100674","1.3.3.1","352","","","","0"
"2013","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100675","1.3.3.2","13178","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100690","1.4.1.1","4058","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100691","1.4.1.2","327102","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100662","1.4.2.1","3037","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100663","1.4.2.2","265703","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100676","1.4.3.1","1021","","","","0"
"2013","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100677","1.4.3.2","61398","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100692","1.5.1.1","12510","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100693","1.5.1.2","742923","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100664","1.5.2.1","11164","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100665","1.5.2.2","658932","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100678","1.5.3.1","1346","","","","0"
"2013","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100679","1.5.3.2","83990","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100694","1.6.1.1","9513","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100695","1.6.1.2","428492","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100666","1.6.2.1","9071","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100667","1.6.2.2","411846","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100680","1.6.3.1","442","","","","0"
"2013","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100681","1.6.3.2","16646","","","","0"
"2013","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100696","1.7.1.1","6388","","","","0"
"2013","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100697","1.7.1.2","393717","","","","0"
"2013","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100668","1.7.2.1","6129","","","","0"
"2013","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100669","1.7.2.2","383716","","","","0"
"2013","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100682","1.7.3.1","259","","","","0"
"2013","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100683","1.7.3.2","10001","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100698","1.1.1.1","55528","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100699","1.1.1.2","3780542","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100670","1.1.2.1","49721","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100671","1.1.2.2","3447486","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100684","1.1.3.1","5807","","","","0"
"2014","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100685","1.1.3.2","333056","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100686","1.2.1.1","10420","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100687","1.2.1.2","1214672","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100658","1.2.2.1","8197","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100659","1.2.2.2","1072895","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100672","1.2.3.1","2223","","","","0"
"2014","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100673","1.2.3.2","141777","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100688","1.3.1.1","12469","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100689","1.3.1.2","622219","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100660","1.3.2.1","12082","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100661","1.3.2.2","608690","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100674","1.3.3.1","387","","","","0"
"2014","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100675","1.3.3.2","13529","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100690","1.4.1.1","4495","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100691","1.4.1.2","343558","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100662","1.4.2.1","3347","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100663","1.4.2.2","276329","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100676","1.4.3.1","1148","","","","0"
"2014","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100677","1.4.3.2","67229","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100692","1.5.1.1","12437","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100693","1.5.1.2","755559","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100664","1.5.2.1","11054","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100665","1.5.2.2","670596","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100678","1.5.3.1","1383","","","","0"
"2014","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100679","1.5.3.2","84963","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100694","1.6.1.1","9386","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100695","1.6.1.2","434910","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100666","1.6.2.1","8930","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100667","1.6.2.2","417475","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100680","1.6.3.1","456","","","","0"
"2014","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100681","1.6.3.2","17435","","","","0"
"2014","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100696","1.7.1.1","6321","","","","0"
"2014","Canada","2016A000011124","All other employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100697","1.7.1.2","409624","","","","0"
