"REF_DATE","GEO","DGUID","Air carrier levels","Productivity measures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","275300","","","","0"
"2017","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","20398","","","","0"
"2018","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","422074","","","","0"
"2018","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","394878","","","","0"
"2018","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","434201","","","","0"
"2018","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","426907","","","","0"
"2018","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","277323","","","","0"
"2018","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","12587","","","","0"
"2019","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","419687","","","","0"
"2019","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","377979","","","","0"
"2019","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","430627","","","","0"
"2019","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","408937","","","","0"
"2019","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","291654","","","","0"
