"REF_DATE","GEO","DGUID","Type of fuel","Air carrier levels","Fuel consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","200114","","","","0"
"2013","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","11804","","","","0"
"2013","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","14474","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","12628","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","16784","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","781","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","1991","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","42","","","","0"
"2013","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","320","","","","0"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","6974705","","","","0"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","6251774","","","","0"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","6761835","","","","0"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","6017445","","","","0"
